2024-03-20 01:49:12.414 [info] Default formatter is set to null for workspace /workspace/info2602a2
2024-03-20 01:49:12.414 [info] Test server listening.
2024-03-20 01:49:12.669 [info] > ~/.pyenv/shims/python -I /workspace/.vscode-remote/extensions/ms-python.python-2024.2.1-universal/pythonFiles/get_output_via_markers.py /workspace/.vscode-remote/extensions/ms-python.python-2024.2.1-universal/pythonFiles/interpreterInfo.py
2024-03-20 01:49:12.751 [info] Python interpreter path: ~/.pyenv/shims/python
2024-03-20 01:49:16.122 [info] Starting Jedi language server for info2602a2.
2024-03-20 02:00:11.155 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-20 02:00:17.344 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-20 02:00:18.575 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-20 02:04:51.622 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:04:54.386 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:04:56.050 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:05:56.094 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:05:59.324 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:06:01.026 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:06:29.764 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:06:30.977 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:08:21.134 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:08:23.752 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:08:25.514 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:08:26.828 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:09:21.970 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:09:46.193 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:09:52.091 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:09:56.774 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:10:01.824 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:10:03.929 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:10:07.538 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:10:47.252 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:10:48.470 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:15:43.658 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:15:50.813 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:15:52.972 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:16:18.728 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:16:21.486 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:16:24.158 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:16:31.643 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:16:51.809 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:16:56.780 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:16:59.198 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:17:01.567 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:17:04.247 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:17:09.468 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:17:13.938 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:17:17.579 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:18:16.793 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-20 02:18:31.521 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
